5.1 Cyrillic Kerning, 
Uc   

вб  нонвбнон
вв  нонввнон
вд  нонвднон
вж  нонвжнон
вз  нонвзнон
вк  нонвкнон
вл  нонвлнон
вн  нонвнон
во  нонвоно
вт  нонвтнон
ву  нонвунон
вф  нонвфнон
вц  нонвцнон
вч  нонвчнон
въ  нонвънон
вэ  нонвэнон
вя  нонвянон
да  нонданон
дб  нондбнон
дв  нондвнон
дд  нондднон
дж  нонджнон
дз  нондзнон
дк  нондкнон
дл  нондлнон
дн  нонднон
до  нондоно
дт  нондтнон
ду  нондунон
дф  нондфнон
дц  нондцнон
дч  нондчнон
дъ  нондънон
дэ  нондэнон
дя  нондянон
жа  нонжанон
жб  нонжбнон
жв  нонжвнон
жд  нонжднон
жж  нонжжнон
жз  нонжзнон
жк  нонжкнон
жл  нонжлнон
жн  нонжнон
жо  нонжоно
жт  нонжтнон
жу  нонжунон
жф  нонжфнон
жц  нонжцнон
жч  нонжчнон
жъ  нонжънон
жэ  нонжэнон
жя  нонжянон
за  нонзанон
зб  нонзбнон
зв  нонзвнон
зд  нонзднон
зж  нонзжнон
зз  нонззнон
зк  нонзкнон
зл  нонзлнон
зн  нонзнон
зо  нонзоно
зт  нонзтнон
зу  нонзунон
зф  нонзфнон
зц  нонзцнон
зч  нонзчнон
зъ  нонзънон
зэ  нонзэнон
зя  нонзянон
ла  нонланон
лб  нонлбнон
лв  нонлвнон
лд  нонлднон
лж  нонлжнон
лз  нонлзнон
лк  нонлкнон
лл  нонллнон
лн  нонлнон
ло  нонлоно
лт  нонлтнон
лу  нонлунон
лф  нонлфнон
лц  нонлцнон
лч  нонлчнон
лъ  нонлънон
лэ  нонлэнон
ля  нонлянон
та  нонтанон
тб  нонтбнон
тв  нонтвнон
тд  нонтднон
тж  нонтжнон
тз  нонтзнон
тк  нонткнон
тл  нонтлнон
тн  нонтнон
то  нонтоно
тт  нонттнон
ту  нонтунон
тф  нонтфнон
тц  нонтцнон
тч  нонтчнон
тъ  нонтънон
тэ  нонтэнон
тя  нонтянон
уа  нонуанон
уб  нонубнон
ув  нонувнон
уд  нонуднон
уж  нонужнон
уз  нонузнон
ук  нонукнон
ул  нонулнон
ун  нонунон
уо  нонуоно
ут  нонутнон
уу  нонуунон
уф  нонуфнон
уц  нонуцнон
уч  нонучнон
уъ  нонуънон
уэ  нонуэнон
уя  нонуянон
фа  нонфанон
фб  нонфбнон
фв  нонфвнон
фд  нонфднон
фж  нонфжнон
фз  нонфзнон
фк  нонфкнон
фл  нонфлнон
фн  нонфнон
фо  нонфоно
фт  нонфтнон
фу  нонфунон
фф  нонффнон
фц  нонфцнон
фч  нонфчнон
фъ  нонфънон
фэ  нонфэнон
фя  нонфянон
ца  нонцанон
цб  нонцбнон
цв  нонцвнон
цд  нонцднон
цж  нонцжнон
цз  нонцзнон
цк  нонцкнон
цл  нонцлнон
цн  нонцнон
цо  нонцоно
цт  нонцтнон
цу  нонцунон
цф  нонцфнон
цц  нонццнон
цч  нонцчнон
цъ  нонцънон
цэ  нонцэнон
ця  нонцянон
ча  нончанон
чб  нончбнон
чв  нончвнон
чд  нончднон
чж  нончжнон
чз  нончзнон
чк  нончкнон
чл  нончлнон
чн  нончнон
чо  нончоно
чт  нончтнон
чу  нончунон
чф  нончфнон
чц  нончцнон
чч  нонччнон
чъ  нончънон
чэ  нончэнон
чя  нончянон
ъа  нонъанон
ъб  нонъбнон
ъв  нонъвнон
ъд  нонъднон
ъж  нонъжнон
ъз  нонъзнон
ък  нонъкнон
ъл  нонълнон
ън  нонънон
ъо  нонъоно
ът  нонътнон
ъу  нонъунон
ъф  нонъфнон
ъц  нонъцнон
ъч  нонъчнон
ъъ  нонъънон
ъэ  нонъэнон
ъя  нонъянон
эа  нонэанон
эб  нонэбнон
эв  нонэвнон
эд  нонэднон
эж  нонэжнон
эз  нонэзнон
эк  нонэкнон
эл  нонэлнон
эн  нонэнон
эо  нонэоно
эт  нонэтнон
эу  нонэунон
эф  нонэфнон
эц  нонэцнон
эч  нонэчнон
эъ  нонэънон
ээ  нонээнон
эя  нонэянон
яа  ноняанон
яб  нонябнон
яв  нонявнон
яд  ноняднон
яж  ноняжнон
яз  нонязнон
як  нонякнон
ял  нонялнон
ян  нонянон
яо  ноняоно
ят  нонятнон
яу  ноняунон
яф  ноняфнон
яц  ноняцнон
яч  нонячнон
яъ  ноняънон
яэ  ноняэнон
яя  ноняянон
ѵа  нонѵанон
ѵб  нонѵбнон
ѵв  нонѵвнон
ѵд  нонѵднон
ѵж  нонѵжнон
ѵз  нонѵзнон
ѵк  нонѵкнон
ѵл  нонѵлнон
ѵн  нонѵнон
ѵо  нонѵоно
ѵт  нонѵтнон
ѵу  нонѵунон
ѵф  нонѵфнон
ѵц  нонѵцнон
ѵч  нонѵчнон
ѵъ  нонѵънон
ѵэ  нонѵэнон
ѵѵ  нонѵѵнон
ра  нонранон
рб  нонрбнон
рв  нонрвнон
рд  нонрднон
рж  нонржнон
рз  нонрзнон
рк  нонркнон
рл  нонрлнон
рн  нонрнон
ро  нонроно
рт  нонртнон
ру  нонрунон
рф  нонрфнон
рц  нонрцнон
рч  нонрчнон
ръ  нонрънон
рэ  нонрэнон
рр  нонррнон

5.3 Cyrillic Kerning, 
Uc + lc   

Аб  Aбнон
Ад   Аднон
Аж   Ажнон
Аз   Азнон
Ал   Алнон
Ат   Атнон
Ау   Аунон
Аф   Афнон
Ач   Ачнон
Аъ   Аънон
Аэ   Аэнон
Ая   Аянон
Аѵ   Аѵнон
Аг  Агнон
Бб   Ббнон
Бд   Бднон
Бж   Бжнон
Бз   Бзнон
Бл   Блнон
Бт   Бтнон
Бу   Бунон
Бф   Бфнон
Бч   Бчнон
Бъ   Бънон
Бэ   Бэнон
Бя   Бянон
Бг  Бгнон
Бѵ   Бѵнон
Вб   Вбнон
Вд   Вднон
Вж   Вжнон
Вз   Взнон
Вл   Влнон
Вт   Втнон
Ву   Вунон
Вф   Вфнон
Вч   Вчнон
Въ   Вънон
Вэ   Вэнон
Вя   Вянон
Вѵ   Вѵнон
Вг  Вгнон
Гб   Гбнон
Гд   Гднон
Гж   Гжнон
Гз   Гзнон
Гл   Глнон
Гт   Гтнон
Гу   Гунон
Гф   Гфнон
Гч   Гчнон
Гъ   Гънон
Гэ   Гэнон
Гя   Гянон
Гѵ   Гѵнон
Гг  Ггнон
Дб   Дбнон
Дд   Дднон
Дж   Джнон
Дз   Дзнон
Дл   Длнон
Дт   Дтнон
Ду   Дунон
Дф   Дфнон
Дч   Дчнон
Дъ   Дънон
Дэ   Дэнон
Дя   Дянон
Дѵ   Дѵнон
Дг  Дгнон
Еб   Ебнон
Ед   Еднон
Еж   Ежнон
Ез   Езнон
Ел   Елнон
Ет   Етнон
Еу   Еунон
Еф   Ефнон
Еч   Ечнон
Еъ   Еънон
Еэ   Еэнон
Ея   Еянон
Еѵ   Еѵнон
Ег  Еднон
Жб   Жбнон
Жд   Жднон
Жж   Жжнон
Жз   Жзнон
Жл   Жлнон
Жт   Жтнон
Жу   Жунон
Жф   Жфнон
Жч   Жчнон
Жъ   Жънон
Жэ   Жэнон
Жя   Жянон
Жѵ   Жѵнон
Жг  Жгнон
Зб   Збнон
Зд   Зднон
Зж   Зжнон
Зз   Ззнон
Зл   Злнон
Зт   Зтнон
Зу   Зунон
Зф   Зфнон
Зч   Зчнон
Зъ   Зънон
Зэ   Зэнон
Зя   Зянон
Зѵ   Зѵнон
Зг  Згнон
Кб   Кбнон
Кд   Кднон
Кж   Кжнон
Кз   Кзнон
Кл   Клнон
Кт   Ктнон
Ку   Кунон
Кф   Кфнон
Кч   Кчнон
Къ   Кънон
Кэ   Кэнон
Кя   Кянон
Кѵ   Кѵнон
Кг  Кгнон
Уб   Убнон
Уд   Уднон
Уж   Ужнон
Уз   Узнон
Ул   Улнон
Ут   Утнон
Уу   Уунон
Уф   Уфнон
Уч   Учнон
Уъ   Уънон
Уэ   Уэнон
Уя   Уянон
Уѵ   Уѵнон
Уг  Угнон
Ьб   Ьбнон
Ьд   Ьднон
Ьж   Ьжнон
Ьз   Ьзнон
Ьл   Ьлнон
Ьт   Ьтнон
Ьу   Ьунон
Ьф   Ьфнон
Ьч   Ьчнон
